city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
austin,2026-05-03,KXHIGHAUS-26MAY03-B78.5,12,50,1777809600,,0.35,0.4,0.375,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B78.5,20,40,1777838340,,0.0,0.01,0.005,0
austin,2026-05-03,KXHIGHAUS-26MAY03-T76,4,9,1777778940,0.02,0.01,0.02,0.015,4.0
austin,2026-05-03,KXHIGHAUS-26MAY03-T76,12,6,1777808160,0.01,0.0,0.01,0.005,10.0
austin,2026-05-03,KXHIGHAUS-26MAY03-T76,20,4,1777838100,,0.0,0.01,0.005,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B76.5,4,7,1777779540,0.07,0.04,0.06,0.05,5.0
austin,2026-05-03,KXHIGHAUS-26MAY03-B76.5,12,41,1777809540,,0.07,0.08,0.07500000000000001,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B76.5,20,6,1777838280,0.01,0.0,0.01,0.005,52.96
austin,2026-05-03,KXHIGHAUS-26MAY03-B82.5,4,39,1777780740,,0.13,0.16,0.14500000000000002,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B82.5,12,28,1777809060,,0.02,0.03,0.025,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B82.5,20,48,1777838400,0.07,0.04,0.1,0.07,105.93
austin,2026-05-03,KXHIGHAUS-26MAY03-T83,4,6,1777779540,0.06,0.02,0.05,0.035,5.0
austin,2026-05-03,KXHIGHAUS-26MAY03-T83,12,18,1777807260,,0.01,0.02,0.015,0
austin,2026-05-03,KXHIGHAUS-26MAY03-T83,20,8,1777838280,,0.0,0.01,0.005,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B80.5,4,29,1777780740,,0.59,0.64,0.615,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B80.5,12,51,1777809180,,0.53,0.54,0.535,0
austin,2026-05-03,KXHIGHAUS-26MAY03-B80.5,20,51,1777838400,0.93,0.93,0.96,0.9450000000000001,108.18
la,2026-05-03,KXHIGHLAX-26MAY03-B64.5,4,31,1777780680,,0.54,0.55,0.545,0
la,2026-05-03,KXHIGHLAX-26MAY03-B64.5,12,49,1777809600,,0.44,0.45,0.445,0
la,2026-05-03,KXHIGHLAX-26MAY03-B64.5,20,15,1777838340,,0.0,0.01,0.005,0
la,2026-05-03,KXHIGHLAX-26MAY03-B70.5,4,31,1777780740,,0.02,0.03,0.025,0
la,2026-05-03,KXHIGHLAX-26MAY03-B70.5,12,61,1777809600,,0.02,0.03,0.025,0
la,2026-05-03,KXHIGHLAX-26MAY03-B70.5,20,53,1777838400,,0.03,0.04,0.035,0
la,2026-05-03,KXHIGHLAX-26MAY03-T71,4,9,1777780800,,0.01,0.02,0.015,0
la,2026-05-03,KXHIGHLAX-26MAY03-T71,12,13,1777809120,,0.0,0.01,0.005,0
la,2026-05-03,KXHIGHLAX-26MAY03-T71,20,24,1777838340,,0.0,0.01,0.005,0
la,2026-05-03,KXHIGHLAX-26MAY03-T64,4,20,1777780800,,0.07,0.08,0.07500000000000001,0
la,2026-05-03,KXHIGHLAX-26MAY03-T64,12,56,1777809600,,0.03,0.04,0.035,0
la,2026-05-03,KXHIGHLAX-26MAY03-T64,20,10,1777837800,,0.0,0.01,0.005,0
la,2026-05-03,KXHIGHLAX-26MAY03-B68.5,4,31,1777780800,,0.05,0.06,0.055,0
la,2026-05-03,KXHIGHLAX-26MAY03-B68.5,12,55,1777809600,,0.08,0.09,0.08499999999999999,0
la,2026-05-03,KXHIGHLAX-26MAY03-B68.5,20,61,1777838400,,0.23,0.24,0.235,0
la,2026-05-03,KXHIGHLAX-26MAY03-B66.5,4,40,1777780560,,0.32,0.35,0.33499999999999996,0
la,2026-05-03,KXHIGHLAX-26MAY03-B66.5,12,54,1777809600,,0.44,0.46,0.45,0
